Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Gorka Guruzeta,Athletic Club,12,ESP,FW,27,90,0,1,0,0,1,0,0,0,30,0,0,3,0.1,0.1,0.1,2,1,16,21,"76,2",0,15,0,1,0,15/08/2024
Álex Berenguer,Athletic Club,7,ESP,LW,29,71,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0,0,0,12,23,"52,2",1,17,3,5,2,15/08/2024
Nico Williams,Athletic Club,10,ESP,LW,22,19,0,0,0,0,2,2,0,0,11,0,0,0,0.1,0.1,0,1,0,4,8,"50,0",0,6,2,1,1,15/08/2024
Iñaki Williams,Athletic Club,9,GHA,RW,30,90,0,0,0,0,2,0,0,0,36,1,0,0,0.1,0.1,0,0,0,17,26,"65,4",1,22,1,2,1,15/08/2024
Oihan Sancet,Athletic Club,8,ESP,AM,24,90,1,0,0,0,1,1,0,0,26,1,0,0,0,0,0,0,0,18,23,"78,3",3,15,2,0,0,15/08/2024
Mikel Vesga,Athletic Club,6,ESP,DM,31,56,0,0,0,0,0,0,0,0,44,2,1,0,0,0,0,0,0,27,38,"71,1",6,19,0,1,0,15/08/2024
Unai Gómez,Athletic Club,20,ESP,DM,21,34,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,3,0,8,12,"66,7",0,7,0,3,1,15/08/2024
Beñat Prados,Athletic Club,24,ESP,DM,23,56,0,0,0,0,0,0,1,0,33,1,0,0,0,0,0,1,0,20,28,"71,4",1,15,0,2,1,15/08/2024
Ander Herrera,Athletic Club,21,ESP,DM,35,34,0,0,0,0,0,0,1,0,37,1,0,0,0,0,0.1,2,0,27,32,"84,4",2,23,0,3,1,15/08/2024
Yuri Berchiche,Athletic Club,17,ESP,LB,34,90,0,0,0,0,1,1,0,0,70,1,1,0,0,0,0,1,0,57,65,"87,7",8,25,1,1,1,15/08/2024
Aitor Paredes,Athletic Club,4,ESP,CB,24,80,0,0,0,0,0,0,0,0,66,0,0,1,0,0,0,1,0,49,56,"87,5",3,37,0,0,0,15/08/2024
Daniel Vivian,Athletic Club,3,ESP,CB,25,10,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,18,19,"94,7",1,18,0,0,0,15/08/2024
Yeray Álvarez,Athletic Club,5,ESP,CB,29,90,0,0,0,0,0,0,0,0,73,1,2,0,0,0,0,1,1,52,59,"88,1",12,37,2,1,0,15/08/2024
Andoni Gorosabel,Athletic Club,2,ESP,RB,28,80,0,0,0,0,0,0,1,0,34,1,0,1,0,0,0,0,0,24,28,"85,7",1,9,0,1,1,15/08/2024
Iñigo Lekue,Athletic Club,15,ESP,RB,31,10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,14,16,"87,5",3,11,1,0,0,15/08/2024
Alex Padilla,Athletic Club,26,ESP,GK,20,90,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,26,43,"60,5",0,24,0,0,0,15/08/2024
Aitor Ruibal,Real Betis,24,ESP,FW,28,69,0,0,0,0,3,1,1,0,23,1,0,0,0.4,0.4,0.1,4,0,11,16,"68,8",2,16,2,0,0,15/08/2024
Ezequiel Ávila,Real Betis,9,ARG,FW,30,21,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.1,2,0,5,5,"100,0",0,4,0,0,0,15/08/2024
Juanmi,Real Betis,7,ESP,LW,31,58,0,0,0,0,1,0,0,0,23,3,1,3,0.1,0.1,0.3,1,0,8,10,"80,0",1,11,1,2,1,15/08/2024
Abde Ezzalzouli,Real Betis,10,MAR,LW,22,32,0,0,0,0,0,0,0,0,16,3,1,0,0,0,0,0,0,8,9,"88,9",2,10,2,4,3,15/08/2024
Pablo Fornals,Real Betis,18,ESP,RW,28,58,0,0,0,0,2,0,0,0,28,1,2,0,0.1,0.1,0,6,0,15,21,"71,4",5,19,1,1,0,15/08/2024
Rodri,Real Betis,17,ESP,RW,24,32,0,0,0,0,1,1,0,0,26,1,1,1,0.1,0.1,0,3,0,11,15,"73,3",2,19,3,2,0,15/08/2024
Nabil Fekir,Real Betis,8,FRA,AM,31,90,0,1,0,0,2,0,0,0,44,3,0,0,0,0,0.5,9,1,29,34,"85,3",5,30,5,2,0,15/08/2024
Marc Roca,Real Betis,21,ESP,DM,27,76,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,1,0,14,18,"77,8",2,13,0,0,0,15/08/2024
Sergi Altimira,Real Betis,16,ESP,DM,22,14,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.1,2,0,18,20,"90,0",3,16,0,0,0,15/08/2024
William Carvalho,Real Betis,14,POR,DM,32,76,0,0,0,0,2,1,0,0,43,1,1,1,0.1,0.1,0,3,0,31,35,"88,6",2,31,1,1,0,15/08/2024
Johnny Cardoso,Real Betis,4,USA,DM,22,14,0,0,0,0,2,0,0,0,16,0,1,2,0.1,0.1,0,0,0,10,10,"100,0",0,9,0,0,0,15/08/2024
Romain Perraud,Real Betis,15,FRA,LB,26,90,0,0,0,0,2,0,1,0,48,2,1,0,0.1,0.1,0,3,1,22,33,"66,7",0,27,2,3,2,15/08/2024
Diego Llorente,Real Betis,3,ESP,CB,30,90,0,0,0,0,0,0,0,0,62,0,1,2,0,0,0,0,0,44,53,"83,0",0,43,0,1,1,15/08/2024
Marc Bartra,Real Betis,5,ESP,CB,33,90,1,0,0,0,1,1,0,0,58,1,2,2,0.2,0.2,0,0,0,38,45,"84,4",1,41,0,0,0,15/08/2024
Youssouf Sabaly,Real Betis,23,SEN,RB,31,90,0,0,0,0,2,0,0,0,48,2,1,0,0.1,0.1,0,1,0,30,37,"81,1",3,21,0,0,0,15/08/2024
Rui Silva,Real Betis,1,POR,GK,30,90,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,34,42,"81,0",0,24,0,0,0,15/08/2024
Isaac Romero,Sevilla,7,ESP,FW,24,82,0,1,0,0,2,0,0,0,32,0,0,1,0.1,0.1,0.4,2,1,15,19,"78,9",0,16,2,1,0,16/08/2024
Peque,Sevilla,14,ESP,FW,21,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,7,"71,4",1,2,1,1,0,16/08/2024
Dodi Lukebakio,Sevilla,11,BEL,"LW,RW",26,73,0,0,0,0,2,0,0,0,26,0,0,0,0.3,0.3,0.2,3,0,16,19,"84,2",1,19,3,3,2,16/08/2024
Jesús Navas,Sevilla,16,ESP,RW,38,17,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.2,4,0,18,20,"90,0",2,13,0,0,0,16/08/2024
Lucas Ocampos,Sevilla,5,ARG,"LW,RW",30,90,0,0,0,0,4,2,0,0,64,1,0,2,0.2,0.2,0.3,6,1,37,50,"74,0",6,30,5,7,2,16/08/2024
Juanlu Sánchez,Sevilla,26,ESP,AM,21,82,1,0,0,0,2,1,1,0,41,1,2,0,0.6,0.6,0.1,5,0,24,29,"82,8",2,21,1,2,0,16/08/2024
Kike Salas,Sevilla,4,ESP,CB,22,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,12,15,"80,0",2,9,0,0,0,16/08/2024
Djibril Sow,Sevilla,20,SUI,"DM,AM",27,90,0,0,0,0,3,2,0,0,57,2,2,0,0.5,0.5,0,6,0,38,42,"90,5",4,23,1,1,0,16/08/2024
Lucien Agoume,Sevilla,18,FRA,DM,22,90,0,0,0,0,0,0,0,0,67,3,1,3,0,0,0,1,0,39,54,"72,2",4,24,2,0,0,16/08/2024
Adrià Pedrosa,Sevilla,3,ESP,LB,26,90,0,0,0,0,1,0,1,0,48,0,0,2,0,0,0.3,1,0,30,41,"73,2",1,14,2,2,2,16/08/2024
Nemanja Gudelj,Sevilla,6,SRB,"CB,DM",32,90,0,0,0,0,1,0,0,0,66,1,2,2,0,0,0,1,0,51,53,"96,2",2,29,0,0,0,16/08/2024
